row_index,borrower_id,feature,rank,shap_value,absolute_shap,direction,feature_value
51082,51083,num_times_60p_dpd,9,-0.0566641129553318,0.0566641129553318,decreases_risk,0
51082,51083,secured_loans,10,0.03794119134545326,0.03794119134545326,increases_risk,1
47356,47357,delinquency_score,1,0.9437059164047241,0.9437059164047241,increases_risk,2
47356,47357,recent_enquiries_6m,2,0.8942226767539978,0.8942226767539978,increases_risk,3.0
47356,47357,credit_history_months,3,0.43187183141708374,0.43187183141708374,increases_risk,24.0
47356,47357,num_times_delinquent,4,0.29832029342651367,0.29832029342651367,increases_risk,1
47356,47357,active_loans,5,0.28732800483703613,0.28732800483703613,increases_risk,1
47356,47357,recent_enquiries_12m,6,0.19710949063301086,0.19710949063301086,increases_risk,3.0
47356,47357,secured_loans,7,0.1964600831270218,0.1964600831270218,increases_risk,0
47356,47357,active_loan_ratio,8,-0.07619864493608475,0.07619864493608475,decreases_risk,0.3333333333333333
47356,47357,num_times_60p_dpd,9,-0.0567222498357296,0.0567222498357296,decreases_risk,0
47356,47357,closed_loans,10,-0.03734562173485756,0.03734562173485756,decreases_risk,2
12565,12566,recent_enquiries_6m,1,-2.056926965713501,2.056926965713501,decreases_risk,0.0
12565,12566,delinquency_score,2,-0.7377918362617493,0.7377918362617493,decreases_risk,0
12565,12566,credit_history_months,3,0.2715110182762146,0.2715110182762146,increases_risk,3.0
12565,12566,personal_loans,4,0.1920490711927414,0.1920490711927414,increases_risk,1
12565,12566,total_enquiries,5,0.15686962008476257,0.15686962008476257,increases_risk,2.0
12565,12566,recent_enquiries_12m,6,-0.14819997549057007,0.14819997549057007,decreases_risk,2.0
12565,12566,missed_payment_ratio,7,0.09775343537330627,0.09775343537330627,increases_risk,1.0
12565,12566,num_times_delinquent,8,-0.0873459205031395,0.0873459205031395,decreases_risk,0
12565,12566,num_times_60p_dpd,9,-0.0654725432395935,0.0654725432395935,decreases_risk,0
12565,12566,marital_status,10,0.03279606834985316,0.03279606834985316,increases_risk,SINGLE
30958,30959,delinquency_score,1,0.9455119371414185,0.9455119371414185,increases_risk,4
30958,30959,recent_enquiries_6m,2,-0.4049692451953888,0.4049692451953888,decreases_risk,1.0
30958,30959,num_times_delinquent,3,0.2841755449771881,0.2841755449771881,increases_risk,2
30958,30959,active_loans,4,-0.2597672939300537,0.2597672939300537,decreases_risk,3
30958,30959,credit_history_months,5,-0.2122664600610733,0.2122664600610733,decreases_risk,58.0
30958,30959,active_loan_ratio,6,-0.17609643936157227,0.17609643936157227,decreases_risk,0.6
